idx,sentence1,sentence2,label
4311,"Bombings, clashes continue in Syria","Bombings, clashes as Syria opposition seeks arms",3.4000000953674316
910,To stick with the traditional pomodoro technique this is considered an interruption.,There is actually functionality in most browsers already in place to do just this.,0.0
2986,"The Dodgers won their sixth consecutive game their longest win streak since 2001 as they edged Colorado, 3-2, Wednesday in front of a crowd of 25,332 at Dodger Stadium.","The Dodgers won their sixth consecutive game and seventh in their last nine as they beat Colorado 3-2 on Wednesday in front of a crowd of 25,332 at Dodger Stadium.",4.400000095367432
179,A man is dancing.,A woman is exercising.,0.4000000059604645
835,I think there isn't a general answer.,I don't think there is a single definition.,4.0
5698,Rooney helps Man United beat Everton 3-0 in Premier League,West Ham beats Newcastle 2-0 in Premier League,1.0
3642,the accused will be charged with international drug trafficking.,"some of the accused will also be charged with money laundering, tax evasion and corruption.",1.600000023841858
1099,A black and white photo of an empty train station.,a black and white photo of a cat lying down.,1.600000023841858
1116,McGill also detailed the hole that had been cut in the Caprice's trunk.,McGill also said a dark glove was stuffed into a hole that had been cut in the Caprice's trunk.,2.25
588,People are near water,People are near water.,5.0
941,"Under Mexican law, bounty hunting is considered a form of kidnapping.","Bounty hunting is illegal in Mexico, and the bounty hunter was charged with kidnapping.",4.0
1159,Syrian opposition pleads for criminal court action,Syrian opposition leader criticizes U.S.,2.200000047683716
428,The man is wearing a black shirt and hat and smiling.,A man is lifting a little girl above his head.,0.0
5154,"Islamic militants kill 9 foreign tourists, 1 Pakistani",Gunmen Kill 11 Foreign Tourists in Pakistan,2.799999952316284
437,Two brown dogs runs through the water.,Two brown dogs running through water.,4.599999904632568
1072,"According to the 2000 Census, Long Beach's Hispanic or Latino population was listed at 35.8 percent.","According to the Census Bureau, the Hispanic population increased by 9.8 percent from the April 2000 census figures.",2.4000000953674316
4536,Car bomb kills one and wounds five in Benghazi,Car bomb hits Libyan Foreign Ministry in Benghazi,3.0
871,"My answer to your question is ""Probably Not"".",This is a part answer to your question,1.0
2102,Morals have absolutely nothing to do with it !,and morals and honesty have everything to do with it.,2.0
4487,Books To Help Kids Talk About Boston Marathon News,Report of two explosions at finish line of Boston Marathon,0.800000011920929
2635,The transaction will expand Callebaut's sales revenues from its consumer products business to 45 percent from 23 percent.,The transaction will expand Callebaut's sales revenues from its consumer products business by around 45 percent to some one-third of total sales.,3.5
1236,Egypt arrests Muslim Brotherhood Supreme Guide,Egypt bans Muslim Brotherhood group,2.200000047683716
333,A man and woman sit at a table in a restaurant.,Four women and two men sit at a long table in a restaurant.,2.200000047683716
1007,"The decades-long conflict has killed more than 10,000 people in the resource-rich province, most of them civilians.","More than 10,000 people, most of them civilians, have been killed in three decades of insurgency.",4.0
1326,Prominent AIDS researchers killed in Malaysian plane crash,Top AIDS Researcher Killed in Malaysia Plane Crash,5.0
1264,Red double decker bus taking on passengers.,A red double decker bus driving down a street.,2.200000047683716
1078,A woman posing in front of an apartment building in the snow.,A woman stands in front of a building in the snow.,4.400000095367432
311,A man is playing keyboard.,A person is playing a piano.,2.200000047683716
5041,Four Morsi supporters killed in Egypt clashes,Thousands of Morsi supporters gather in Egypt,2.200000047683716
1026,"""Frank Quattrone is innocent,"" Keker said in a statement.",Quattrone lawyer John W. Keker said his client is innocent.,3.75
4239,Syrian forces storm central town,"Syrian forces bombard Homs, Russia warns of civil war",2.5
2802,"A nationally board certified teacher with a master's degree, Kelley makes a salary of $65,000 in his 30th year.","A nationally board certified teacher with a master's degree, Kelley, in his 30th year teaching, makes $65,000.",4.75
5342,Headlines in major Iranian newspapers on Dec 30,Headlines in major Iranian newspapers on July 6,2.200000047683716
491,A person is slicing an onion.,A cat is pooping into a toilet.,0.0
2317,Religion that does that I have a problem with.,Irreligion that doesn't do that I don't have a problem with.,1.399999976158142
1220,Two dogs in a fenced kennel look ahead.,Two woman pose in a dining room with a baby.,0.0
432,A dog is running on the ground.,A girl is tapping her finger nails.,0.0
5522,Russia claims to have foiled possible terror act,Russia says ballistic 'objects' fired in Mediterranean,1.399999976158142
4941,Karzai to visit Pakistan for Taliban peace talks,Afghan president extends visit to Pakistan for Taliban talks,3.5999999046325684
2805,"Druce will face murder charges, Conte said.",Conte said Druce will be charged with murder.,5.0
4195,Japan PM calls for quicker tsunami waste processing,Japan marks one year since quake and tsunami disaster,1.0
5667,7.3 magnitude earthquake strikes Nepal,6.6-magnitude earthquake strikes off Indonesia,1.0
1226,Consumers would still have to get a descrambling security card from their cable operator to plug into the set.,"To watch pay television, consumers would insert into the set a security card provided by their cable service.",4.0
2549,"The market's broader gauges also posted big gains, having climbed higher for four consecutive weeks.","The broader market also retreated, having climbed higher for four consecutive weeks.",3.5999999046325684
2628,Microsoft fell 5 percent before the open to $27.45 from Thursday's close of $28.91.,Shares in Microsoft slipped 4.7 percent in after-hours trade to $27.54 from a Nasdaq close of $28.91.,3.0
990,"Last year, Cuban officials said none of nearly two dozen nominated Cuban musicians received U.S. visas on time to attend the Grammys in Los Angeles.",Cuban officials said that last year none of about two dozen nominated Cuban musicians received U.S. visas in time to attend the Latin Grammys.,3.799999952316284
431,A woman is slicing meat with a knife.,A man is spreading out dough.,0.4169999957084656
4802,2 Turkish unions call for strike on Monday in protest over police violence,Turkey unrest: Unions call for strike over police crackdown,3.4000000953674316
348,Blue couch and twin bed in a living room.,A leather couch and wooden table in a living room.,2.200000047683716
3509,kashmir is divided between india and pakistan.,kashmir is claimed by both india and pakistan.,4.400000095367432
200,The woman is slicing tofu.,The woman is putting on lipstick.,0.4000000059604645
3592,the cfe treaty was established in 1990.,the treat was originally signed in 1990.,3.200000047683716
1812,A boy doing a back flip into a swimming pool.,A boy wearing red and blue swim trunks jumping head first into a swimming pool.,2.4000000953674316
791,I visit AZ every summer and include some hikes in the desert when I'm there.,"Apart from what has been said, your need of water also depends on what you eat.",0.20000000298023224
4032,EU slaps sanctions on Assad family,EU sanctions Assad's wife; mortars hit Homs,3.4000000953674316
3097,Ridge said no real explosives or harmful devices will be used in the exercise.,Ridge said that no actual explosives or other harmful substances will be used.,4.599999904632568
1368,A women laying across two men sitting on a sofa.,Two men in shorts are sitting on a sofa.,2.0
3272,Perry has called lawmakers into two special sessions to address congressional redistricting.,Perry has since called two special legislative sessions to try force the redistricting plan through.,3.75
1432,UN Chemical Weapons Experts to Visit Syria,US Says Chemical Weapons Used in Syria,2.0
1442,"US, Russia enter third day of Syria talks",US and Russia agree Syria arms deal in Geneva,1.7999999523162842
708,I can only think of context using insofar as or insofar that.,The form insofar is American English; the standard form in British and other English is 'in so far'.,1.7999999523162842
2056,"Ah ha, ha, ha, ha, ha!","Ha, ha, ha, ha, ha, ha!",4.5
364,A Philips flat-screen TV is shown with its two remote controls.,A Phillips flat screen TV with two remote controls.,5.0
5646,Russia's Putin claims authority to invade Ukraine,Kremlin: Putin yet to decide on using Russian troops in Ukraine,2.0
627,There's also what the string is made of.,There is also a Youtube-Version of the film.,0.0
1535,The white dog runs across the snow.,A white bear walks along snow-covered ground and casts a shadow on the snow.,1.399999976158142
1397,Cars driving near a model building.,Vehicles driving infant of an ornate building.,2.4000000953674316
1056,"Under the U.S. Constitution, the other chamber of Congress, the House of Representatives, does not vote on foreign alliances.","The U.S. House of Representatives, the other chamber of Congress, does not vote on treaties.",3.200000047683716
454,The surfer does a flip off of a wave.,A surfer does a flip on a wave.,4.800000190734863
422,A man in red swim trunks playing volleyball.,A man and woman sitting on a motorcycle.,0.0
200,Someone is feeding a animal.,Someone is playing a piano.,0.0
280,A moped in front of ruins.,White bus parked in grass in front of building.,0.6000000238418579
1327,Israel Forces Kill 2 Palestinian Militants,Israeli army kills Palestinian militant in raid,3.200000047683716
1302,US drone strike kills 11 in Pakistan,US drone kills 16 in Pakistan,3.200000047683716
666,"Yes, you should mention your experience.","Yes, you should mention it.",3.0
4882,Miliband pledges to strengthen minimum wage,Portugal-China to strengthen scientific research ties,0.0
2177,But do you actually believe there was an iceberg in those waters?,I don't believe there was any iceberg at all anywhere near the Titanic.,2.799999952316284
1943,A brown dog sits on the beach.,A dog running on the beach,2.0
563,The women are trying to sell something to the individual.,The men are trying to make some money.,1.2000000476837158
278,A red and white plane flying on a sunny day.,Red and white plane flying through the air.,4.199999809265137
701,"This doesn't answer your question, but:",This is a part answer to your question,1.0
1203,Stocks dipped lower Tuesday as investors opted to cash in profits from Monday's big rally despite a trio of reports suggesting modest improvement in the economy.,Wall Street moved tentatively higher Tuesday as investors weighed a trio of reports showing modest economic improvement against an urge to cash in profits from Monday's big rally.,2.799999952316284
1243,"Ten rescued off Waterford, Dublin coasts",Six rescued after boat capsizes in Dublin Bay,2.5999999046325684
2741,"One, Capt. Doug McDonald, remained hospitalized in critical condition on Thursday.","Her 20-year-old sister, Allyson, was severely burned and remained hospitalized in critical condition.",0.75
3358,The Cleveland Cavaliers won the right to draft James by winning the NBA's annual lottery Thursday night.,"Such was the case Thursday night when the Cleveland Cavaliers won the ""LeBron James Lottery,"" otherwise known as the NBA draft lottery.",4.0
164,A person is boiling noodles.,A woman is boiling noodles in water.,4.0
2645,"Bush said resistance forces hostile to the U.S. presence ""feel like ... the conditions are such that they can attack us there.",There are some who feel like the conditions are such that they can attack us there.,2.75
2117,loose change started out as a work of fiction.,It finished as a work of fiction.,2.200000047683716
4265,Obama's poll rating drops in boost for Republican rivals,Obama's big Hispanic win worries Republicans,1.0
962,"Frank Quattrone, the former Credit Suisse First Boston technology investment-banking guru, reportedly pleaded not guilty Tuesday to charges of obstruction of justice and witness tampering.",NEW YORK -(Dow Jones)- Former star investment banker Frank Quattrone pleaded not guilty Tuesday to criminal charges of obstruction of justice and witness tampering.,4.0
306,Group of people posing with two men dressed as Elvis.,A group of people standing with two other people dressed as Elvis.,4.199999809265137
5632,Mandela spends third day in hospital,Mandela in Hospital for 3rd Day,5.0
2482,But it is clear that the Joint Intelligence Committee was not involved.,This report was cleared by the Joint Intelligence Committee.,2.0
772,"In English, certainly the most common use of do is Do-Support.","In traditional grammar, the word doing is a participle in all your examples.",0.6000000238418579
66,A woman is peeling shrimp.,A man is squeezing water.,0.20000000298023224
4974,Renowned Spanish flamenco guitarist Paco De Lucia dies,Spanish flamenco guitarist Paco de Lucia dies at 66,4.599999904632568
1165,A man riding a white horse in an arena.,A man riding a white horse.,4.0
482,A man in a black suit is surfing along a crashing wave.,A surfer wearing a black wet suit is riding a a white wave in the ocean.,4.599999904632568
3004,"The nation's largest retailer has told its 100 top suppliers they have to start using electronic tags on all pallets of goods by Jan. 25, 2005.","Wal-Mart has told its top 100 suppliers that they'll need to have radio-frequency ID systems in place for tracking pallets of goods through the supply chain by Jan. 25, 2005.",3.75
783,A person is frying.,A person is peeling a potato.,1.2000000476837158
497,A small boy is playing with a dog.,A baby is playing with a dog.,3.75
1046,Looking to buy the latest Harry Potter?,Harry Potter's latest wizard trick?,1.899999976158142
4614,"Facing Bailout Tax, Cypriots Try to Get Cash Out of Banks",Bailout terms prompt run on Cyprus banks,3.0
5476,Two French journalists killed in Mali,France confirms two French journalists killed in Mali,5.0
1751,A young girl doing a back flip in the water.,a young girl wearing purple running through water,2.799999952316284
3836,4 killed in shrine bombing in northwest Pakistan,12 killed in U.S. drone strike in NW Pakistan,0.800000011920929
8,A man is playing guitar.,A lady is playing the guitar.,2.200000047683716
492,A skateboarder jumps off the stairs.,A dog jumps off the stairs.,0.800000011920929
3424,"SUVs parked on residential streets in Monrovia were tagged with ""ELF"" and other slogans, and another was set ablaze in front of a house, Sgt. Tom Wright said.","Several SUVs parked on residential streets in Monrovia were tagged with ``ELF'' and other slogans, said Sgt. Tom Wright.",3.5
5250,Tropical Storm Karen targets US Gulf Coast,Tropical Storm Karen weakens as it nears U.S. Gulf Coast,2.5999999046325684
2270,Jury nullification has NOTHING to do with the Constitutionality of laws.,Jury nullification means a law isn't Constitutional?,2.5999999046325684
3699,"china's cabinet the state council announced that it will amend regulations on ""dual-use"" nuclear technology to prevent nuclear terrorism.",amending regulations on dual-use nuclear technology will prevent nuclear terrorism.,2.4000000953674316
1159,Red double decker bus.,"A red, double-decker bus.",5.0
2637,Iraq's economy was ravaged during years of U.N. sanctions over ex-president Saddam Hussein's 1990 occupation of Kuwait and by the U.S.-led war to oust him which ended in April.,Iraq's economy was shattered under former president Saddam Hussein and by the U.S.-led war to oust him which ended in April.,3.75
232,A man is selling items.,A man is cleaning the house.,0.800000011920929
3552,shingarev said it is very difficult to make a nuclear weapon from the plutonium in this fuel.,donohue said it is very difficult to manipulate radioactive isotopes without leaving a trail.,0.6000000238418579
4254,Komen won't cut Planned Parenthood funding,Susan G Komen in U-turn over Planned Parenthood funding cut,3.0
336,A white bird flying up onto a tree.,A white cat laying on a sheet.,1.2000000476837158
3519,abuja is the capital of,tskhinvali is the capital of georgia.,0.800000011920929
1248,US authorities charge man in ricin probe,South African police arrest 50 in farm protest,0.0
2860,"A second victim, Michael Walker, 23, was struck in the torso, the bullet perforating his lung.","The other victim, Michael Walker, of 550 Barbey Street, was struck in the neck.",2.200000047683716
5721,Plane Crash Site Search Called off for the Night,Tour De France Pack Sets off for Stage 15,0.0
2037,When did I compare homo sexuaity with a developmental disorder?,I compared homo phobia with a developmental disorder.,2.5999999046325684
206,Someone is greating a carrot.,A woman is grating an orange food.,2.5
654,A woman fires a shotgun.,A woman is shooting a gun.,3.200000047683716
230,A man reels in a fish.,A woman is pouring oil in a bowl.,0.0
1406,Matt Smith quits BBC’s Doctor Who,Matt Smith quits BBC's Doctor Who,5.0
2730,"A number below 50 suggests contraction in the manufacturing sector, while a number above that indicates expansion.","A reading above 50 suggests growth in the sector, while a number below that level indicates contraction.",4.817999839782715
4165,Libyans begin handing in weapons,Libyans transfer weapons to army,3.200000047683716
303,A motorcycles is parked near a wall covered with a graffiti scene of a cityscape.,A motorcycle is parked by a mural of a city in the evening.,3.4000000953674316
342,Group of people sitting around a restaurant dining table.,A group of people sitting at a restaurant table.,4.800000190734863
4300,"Navy jet crashes into Virginia buildings, injuring six","Navy jet crashes into Virginia apartments,9 hurt",3.200000047683716
639,Supporting an ideology in an ostentatious manner (rather than privately or discreetly) is a personality problem.,I think for an appropriate answer I'd need to know exactly what the 'bad' ideology is.,1.2000000476837158
1082,A passenger train waiting in a station.,A passenger train waiting at the city train station.,4.0
3710,north korean officials are suspected of building nuclear weapons.,north korea is currently in the process of dismantling its nuclear weapons program.,2.0
2866,"Five alternate jurors were also chosen, with a final one set to be selected Friday morning from the panel.","Five alternate jurors also were selected, with a sixth alternate to be picked on Friday.",4.599999904632568
4144,Iran expands nuclear enrichment activities: IAEA report,Iran steps up sensitive nuclear work - IAEA,3.0
2357,The Face Of The Franchise: The worst part is that he's not even a Leafs fan!,The worst part is that he's not even a Leafs fan!,4.400000095367432
2194,Bienging is unaccptable.,Being drunk is unacceptable.,1.0
4730,Egypt swears in new interim leader,Egypt army cracks down on Brotherhood,0.6000000238418579
5141,Monty Python to reunite for new show,Monty Python to reunite on stage,4.0
663,A man is eating a banana.,Someone is peeling a banana.,1.7999999523162842
5596,U.S. and Russia reach a deal on Syria's chemical weapons,"China welcomes US, Russia deal on Syria chemical weapons",3.0
42,A man is playing a guitar.,A man is singing while playing the guitar.,3.5999999046325684
1152,Gu Kailai murder trial ends in China,Gu Kailai's Murder Trial Ends in China,5.0
3837,China stocks close mixed Friday,China stocks open lower Friday,1.600000023841858
668,Take a look at these:,Take a look at this:,5.0
5558,Mayawati demands president's rule in Kashmir,Mayawati demands Presidents rule in Jammu and Kashmir,3.0
5653,US Attorney General Holder resigns,US Attorney general Eric Holder to resign,4.0
435,A woman is mincing some garlic.,A person is cleaning a disk.,0.0
713,Those expressions could have slightly different meanings especially when talking about finance.,I suspect the phrase originated in the habit of drawing the internet as a cloud shape on network diagrams.,0.4000000059604645
3089,Wal-Mart estimates more than 100 million Americans visit their stores every week.,"Each week 138 million shoppers visit Wal-Mart's 4,750 stores.",2.799999952316284
2081,"pressing one does not ""do"" english.",Pressing one does send a tone.,1.7999999523162842
2625,Iraqi police opened fire in downtown Baghdad today after demonstrators stormed a police station demanding they be given jobs they claimed to have paid bribes for.,"Iraqi police opened fire in downtown Baghdad Wednesday after demonstrators demanding jobs stormed a police station and threw stones at officers, police said.",3.25
521,a girl with vases in the background inside her house,The girl is standing as the other girl with glasses works on her hand painting.,0.20000000298023224
2801,"""Biotech products, if anything, may be safer than conventional products because of all the testing,"" Fraley said, adding that 18 countries have adopted biotechnology.","""Biotech products, if anything, may be safer than conventional products because of all the testing,"" said Robert Fraley, Monsanto's executive vice president.",3.200000047683716
512,A sad man is jumping over a small stream to meet his companion on the other side.,A man is jumping over a stream to meet his companion on the other side.,3.799999952316284
143,A polar bear is running towards a group of walruses.,A polar bear is chasing a group of walruses.,4.199999809265137
698,I have the same thing.,I have the same situation and have traveled extensively.,2.0
1219,US government 'on the edge of shutdown',Obama rejects GOP offer to ease shutdown,2.4000000953674316
1276,Japan falls silent to mark 311 tragedy,Japan thanks Taiwan for quake aid,0.4000000059604645
229,A person is slicing some onions.,A woman is chopping herbs.,1.0
718,I think you're looking for Mikey (1992).,I think you're looking for the movie,3.0
4645,Asian markets hit 3-wk high on hopes of US debt deal,Asian stocks hit three-week highs on hopes of U.S. debt deal,4.800000190734863
1099,"The tech-laced Nasdaq Composite Index .IXIC eased 5.16 points, or 0.32 percent, at 1,590.75, breaking a six-day string of gains.","The tech-heavy Nasdaq Composite Index .IXIC was off 0.11 percent, or 1.78 points, at 1,594.13.",1.600000023841858
4661,Dozens injured as Boeing 777 jet crash lands at San Francisco airport,Asiana Air Boeing 777 crash lands at San Francisco airport,3.799999952316284
234,A woman puts make-up on.,A woman is putting on eyeshadow.,3.3329999446868896
8,Three men are playing guitars.,Three men are on stage playing guitars.,3.75
1264,Afghan police kill 5 Taliban fighters,"5 Taliban, 5 Afghan police killed in ambushes",2.200000047683716
1498,a bird lands in the water.,a boat floats in the water.,0.6000000238418579
1896,Two different breeds of brown and white dogs play on the beach.,Two dogs playing in the sand at the beach.,4.0
1372,Hospital: 61 killed in Venezuela prison riot,Dozens reported killed in Venezuela prison riot,2.5999999046325684
2975,"The Dow Jones industrial average .DJI was off 58.69 points, or 0.64 percent, at 9,137.86.","The blue-chip Dow Jones industrial average .DJI fell 86.56 points, or 0.94 percent, to 9,109.99, after giving up more than 1 percent earlier.",2.5
1237,"The broader Standard & Poor's 500 Index rose 3.42 points, or 0.34 percent, to 1,007.84.","The technology-laced Nasdaq Composite Index .IXIC was down 1.55 points, or 0.09 percent, at 1,744.91.",1.0
3492,russia ratified the updated treaty in 2004 but the united states and other nato members have refused to do so arguing that moscow must first fulfill obligations to withdraw forces from georgia and from moldova's separatist region of trans-dniester.,russia has ratified the amended version but the united states and other nato members have refused to do so until the russian government withdraws troops from the former soviet republics of moldova and georgia.,4.199999809265137
689,"They don't taste identical at all, and even more important, they don't smell the same.",Black pepper and white pepper are differing preparations of the fruit of the Piper nigrum plant.,2.5999999046325684
4159,Thailand: Iranians planned to attack Israelis,Malaysia to extradite Iranian for attack on Israelis,1.0
1804,A man on skis on a snow-covered hill with mountains in the background,A dog enjoys a romp in the water with mountains and sand in the background.,0.6000000238418579
1276,A black and tan dog looks at a black sheep.,A black dog looking at a brown sheep in a pen.,3.0
185,The man is eating pizza.,A man is eating a slice of pizza.,4.800000190734863
30,A turtle is swimming in water.,A turtle is walking underwater.,3.200000047683716
2176,the problem isn't who has money.,the problem is who doesn't have money.,2.4666666984558105
1218,"In the latest violence, insurgents threw a bomb at a U.S. convoy in northern Baghdad, killing one soldier.","Early Monday, insurgents threw a homemade bomb at a U.S. convoy in northern Baghdad, killing an American soldier.",4.111000061035156
5714,All 224 dead in Russian airliner mystery crash,Heat flash detected at time of Russian airliner crash,2.0
1111,The research firm earlier had forecast an increase of 4.9 percent.,The firm had predicted earlier this year a 4.9 percent increase.,4.800000190734863
428,"A wet, blond dog carries a stick on the shore.","The wet, brown dog has a stick in his mouth and is running in the sand next to the water.",3.5999999046325684
2611,"Now, Blanca's American husband, 63-year-old Roger Lawrence Strunk, faces a murder indictment issued in February by the Philippine government, which says he's the leading suspect.","Now, Blanca's husband, 63-year-old Roger Lawrence Strunk of Tracy, faces a murder indictment issued by the Philippine government in February.",4.25
649,All of these effects are related to the 11 year solar cycle.,I will be specific to answering the part regarding the prediction of solar flares.,0.800000011920929
1042,The skinny cows are standing on the grass.,The white ducks are standing on the ground.,0.6000000238418579
147,A man is breaking wooden boards with his hand.,A man is breaking tiles with his hands.,2.5
2257,"My best, Kutte My ex-fiance wouldn't use the VA or Navy doctor's.",Jay My ex-fiance wouldn't use the VA or Navy doctor's.,3.5999999046325684
1273,A girl with a red bag standing on the street.,A black dog is staring at a sheep.,0.0
101,A man is screwing wood to a wall.,A man is giving a woman a massage.,0.20000000298023224
2298,Landon And So This is Christmas We are all vessels filled with many wonders.,Play With Fire We are all vessels filled with many wonders.,1.7999999523162842
3082,"""It appears from our initial report that this was a textbook landing considering the circumstances,"" Burke said.","Said Mr. Burke: ""It was a textbook landing considering the circumstances.""",4.0
5703,Libya: UN orders investigation into Libya rights abuses,"India's top court orders investigation into job scam, deaths",0.0
5532,Pakistani Taliban chief killed in US drone strike,Funeral for Pakistan Taliban chief 'set to take place',1.600000023841858
588,He is about to run into the boat,The man is getting his boat clean to take it out on the water.,1.2000000476837158
16,The girl sang into a microphone.,The lady sang into the microphone.,2.4000000953674316
240,The man is trying to feed the snake with a mouse.,A man is working on his laptop.,0.800000011920929
891,"""We believe we are fully prepared to roll out the [touch-screen] machines for the 2004 presidential primary,"" said Gilles W. Burger, State Board of Elections chairman.","""We believe we are fully prepared to roll out the revised Diebold machines,"" said Gilles W. Burger, chairman of the Maryland State Board of Elections.",3.75
4716,Singapore stocks close 0.4% higher,Indian stocks open higher,1.7999999523162842
3382,"""If we could do that throughout the world, we could end terrorism,"" he said.","This is a hospital that treats everybody as people, and if we could do that throughout the world, we could end terrorism.""",3.5
4320,Armenians vote in parliamentary elections,Armenia's parliamentary vote a test for president,3.200000047683716
399,A tan and white dog retrieving a ball on a gravel path.,A large dog walks along a gravel path in the woods.,2.0
449,A black and white dog is running through the grass.,A tan dog is walking through snow.,2.0
163,The man spread butter on the loaf of bread.,A man is spreading butter onto bread.,4.0
5185,G7 'to intensify Russia sanctions',Ukraine Fears Russian Invasion,0.6000000238418579
5402,"Yolanda death toll climbs to 3,621",Kenya Red Cross says death toll rises to 68,0.4000000059604645
3829,Tsunami warning issued for southern Alaska,Tsunami warning after Canada quake,2.4000000953674316
5396,Protesters swamp streets to reclaim revolution,Egypt: Protesters storm Muslim Brotherhood's HQ,1.600000023841858
1333,China Yuan Strengthens to 6.168 against USD Monday,China yuan strengthens to 6.1696 against USD Thursday,4.199999809265137
4557,UN presses need for major boost in Syrian aid,UN chief presses for major boost in Syrian aid,4.800000190734863
749,The man is singing and playing the guitar.,A man is playing a guitar.,3.0
1053,This is a rear view of a Chevrolet sports car.,The rear view of a red Chevrolet concept car.,3.5999999046325684
816,My son didn't become potty trained until about his 4th birthday.,Here are some things that worked with my son who started toilet training around 2.5 years.,1.600000023841858
3446,The defense cannot appeal Roush's ruling until after the trial.,"Defense lawyers cannot appeal the ruling until after trial, in the appellate courts.",3.4000000953674316
4201,The murky waters of the South China Sea,Peace lies over the South China Sea,1.399999976158142
853,So think it in this way.,Think of it this way.,5.0
136,A person is peeling shrimp.,A man is peeling shrimp.,3.799999952316284
626,A woman cuts up broccoli.,A woman is cutting broccoli.,5.0
721,A woman is slipping in the water-tub.,A woman is lying in a raft.,0.800000011920929
4858,US Senate confirms Yellen as Fed's next chair,US Senate Confirms Janet Yellen as New Central Bank Chief,4.199999809265137
851,There are a few possible reasons.,There are a few reasons that paint wrinkles.,3.0
786,"Nylon dries fast, is resistant to ripping and tearing, and fairly breathable.","Nylon, among other synthetics, is an ideal material for clothing for most outdoor pursuits for several reasons.",2.799999952316284
3883,Five killed in China building collapse,At least 20 killed in Syria Saturday,0.20000000298023224
1475,Algeria president gets therapy after stroke: state media,Bulgarian president tries to break election stalemate,0.4000000059604645
611,A man walks his dog on the beach.,A man with his dog on the beach.,4.400000095367432
2426,We both thought the movie was good and we didn't find it confusing in any way.,"I thought it was good, and I didn't find it confusing.",3.200000047683716
1288,Spanish jobless rate soars past 25 per cent,"US jobless rate seen rising, offering Obama no relief",1.0
341,The missile exploded.,A rocket exploded.,3.200000047683716
449,The couple danced in the church.,A couple slow dances.,3.200000047683716
360,Motorcycle parked next to a car outside.,A motorcycle parked next to a car.,4.400000095367432
